playerid,display_name,common_name,source
# Verified against save file's editedplayernames table (nQVU),,,
# Entries here supplement players whose names aren't stored in the save.,,,
# To add more: look up player ID on sofifa.com, verify name, append below.,
54008,S. Bywater,S. Bywater,dataset
54013,S. Downing,S. Downing,dataset
54033,T. Huddlestone,T. Huddlestone,dataset
54037,T. Berni,T. Berni,dataset
54051,W. Routledge,W. Routledge,dataset
100899,S. Phillips,S. Phillips,dataset
101317,M. Ratajczak,M. Ratajczak,dataset
101473,T. Kuszczak,T. Kuszczak,dataset
101488,D. Haas,D. Haas,dataset
101880,R. Green,R. Green,dataset
102056,S. Padoin,S. Padoin,dataset
102064,C. Terzi,C. Terzi,dataset
102084,L. Belingheri,L. Belingheri,dataset
102593,C. Woodman,C. Woodman,dataset
102881,K. Stamatopoulos,K. Stamatopoulos,dataset
104389,R. Jarstein,R. Jarstein,dataset
104442,C. Burke,C. Burke,dataset
104476,C. Grindheim,C. Grindheim,dataset
104702,D. Braaten,D. Braaten,dataset
104737,B. Roche,B. Roche,dataset
104900,M. Gurski,M. Gurski,dataset
105308,J. Gillet,J. Gillet,dataset
105318,J. ValdÃ©s,J. ValdÃ©s,dataset
105533,L. ZaÅuska,L. ZaÅuska,dataset
105846,A. Boruc,A. Boruc,dataset
106231,Aduriz,Aduriz,dataset
106795,G. Pegolo,G. Pegolo,dataset
107084,M. Langer,M. Langer,dataset
107298,Y. PelÃ©,Y. PelÃ©,dataset
107305,M. Tacalfred,M. Tacalfred,dataset
108061,R. Ziegler,R. Ziegler,dataset
108080,S. Lichtsteiner,S. Lichtsteiner,dataset
109852,G. McAuley,G. McAuley,dataset
110019,Dorado,Dorado,dataset
110376,Jonatan Soriano,Jonatan Soriano,dataset
110606,A. Mannus,A. Mannus,dataset
110638,Cifuentes,Cifuentes,dataset
110677,MoyÃ¡,MoyÃ¡,dataset
110680,Xisco Campos,Xisco Campos,dataset
110787,Borja FernÃ¡ndez,Borja FernÃ¡ndez,dataset
110974,Riesgo,Riesgo,dataset
111206,S. Riether,S. Riether,dataset
111328,L. McCormick,L. McCormick,dataset
111503,C. Ben Saada,C. Ben Saada,dataset
111590,L. Feeney,L. Feeney,dataset
111661,C. Kameni,C. Kameni,dataset
112244,J. PlaÅ¡il,J. PlaÅ¡il,dataset
112316,J. Mathieu,J. Mathieu,dataset
112362,F. Zoko,F. Zoko,dataset
112365,R. Cohade,R. Cohade,dataset
112373,A. Balijon,A. Balijon,dataset
113524,Nino,Nino,dataset
114356,M. WÃ¶lfli,M. WÃ¶lfli,dataset
114764,Iraizoz,Iraizoz,dataset
115533,D. Benaglio,D. Benaglio,dataset
115909,RubÃ©n Castro,RubÃ©n Castro,dataset
116314,D. Martin,D. Martin,dataset
116762,S. Roudet,S. Roudet,dataset
116917,D. Perquis,D. Perquis,dataset
117063,N. Douchez,N. Douchez,dataset
118359,L. Miller,L. Miller,dataset
118646,I. Henderson,I. Henderson,dataset
118794,A. Lonergan,A. Lonergan,dataset
119233,T. Mears,T. Mears,dataset
120243,P. Gori,P. Gori,dataset
120312,M. Dawson,M. Dawson,dataset
120415,S. Shearer,S. Shearer,dataset
120533,Pepe,Pepe,dataset
121134,A. Walke,A. Walke,dataset
121933,R. Adler,R. Adler,dataset
121937,M. Rensing,M. Rensing,dataset
122066,R. KÃ¶nig,R. KÃ¶nig,dataset
122574,S. Whittaker,S. Whittaker,dataset
122718,P. Heerwagen,P. Heerwagen,dataset
122849,A. KonÃ©,A. KonÃ©,dataset
123603,H. Campagnaro,H. Campagnaro,dataset
124337,A. Turan,A. Turan,dataset
124375,B. YÄ±lmaz,B. YÄ±lmaz,dataset
124388,O. Ãek,O. Ãek,dataset
124607,S. Ä°nan,S. Ä°nan,dataset
124635,M. Topal,M. Topal,dataset
125132,B. KÃ¶rk,B. KÃ¶rk,dataset
125586,S. Andersen,S. Andersen,dataset
125871,H. KaldÄ±rÄ±m,H. KaldÄ±rÄ±m,dataset
125995,U. Bulut,U. Bulut,dataset
126883,A. Durak,A. Durak,dataset
128529,U. Ceylan,U. Ceylan,dataset
129566,P. McShane,P. McShane,dataset
131444,R. WÃ¼rtz,R. WÃ¼rtz,dataset
132740,J. Hansen,J. Hansen,dataset
133249,E. HallfreÃ°sson,E. HallfreÃ°sson,dataset
134777,G. Bourillon,G. Bourillon,dataset
134779,J. Briand,J. Briand,dataset
134792,D. Bowditch,D. Bowditch,dataset
134820,S. Brown,S. Brown,dataset
134828,K. Broadfoot,K. Broadfoot,dataset
135032,N. Zimling,N. Zimling,dataset
135043,A. Lindegaard,A. Lindegaard,dataset
135190,M. Liendl,M. Liendl,dataset
135218,D. Perquis,D. Perquis,dataset
135451,Gomes,Gomes,dataset
135507,Fernandinho,Fernandinho,dataset
135576,Diego Barcelos,Diego Barcelos,dataset
135587,N. MÃ¤enpÃ¤Ã¤,N. MÃ¤enpÃ¤Ã¤,dataset
135646,L. Walthert,L. Walthert,dataset
135697,Sergio GarcÃ­a,Sergio GarcÃ­a,dataset
135883,S. Francis,S. Francis,dataset
135891,K. Overmeire,K. Overmeire,dataset
136069,Accioly,Accioly,dataset
136113,W. Morgan,W. Morgan,dataset
136363,Jung Jo Gook,Jung Jo Gook,dataset
136553,Lee Dong Gook,Lee Dong Gook,dataset
137109,S. Schaars,S. Schaars,dataset
137166,P. Jones,P. Jones,dataset
137186,A. Barzagli,A. Barzagli,dataset
137242,L. JimÃ©nez,L. JimÃ©nez,dataset
137267,R. Clark,R. Clark,dataset
137351,D. Baier,D. Baier,dataset
137359,C. Lepoint,C. Lepoint,dataset
137361,G. Pazzini,G. Pazzini,dataset
137373,M. Gobbi,M. Gobbi,dataset
137406,D. Croce,D. Croce,dataset
137410,D. Gastaldello,D. Gastaldello,dataset
137449,J. Callsen-Bracker,J. Callsen-Bracker,dataset
137460,A. Rosina,A. Rosina,dataset
137506,G. Pandev,G. Pandev,dataset
137510,A. Kruiswijk,A. Kruiswijk,dataset
137677,M. Vorm,M. Vorm,dataset
137686,A. Hadouir,A. Hadouir,dataset
137699,M. Stoll,M. Stoll,dataset
137708,F. Dick,F. Dick,dataset
137774,D. Maietta,D. Maietta,dataset
137987,J. LotiÃ¨s,J. LotiÃ¨s,dataset
138026,D. Verhulst,D. Verhulst,dataset
138083,N. Hunt,N. Hunt,dataset
138153,D. Potter,D. Potter,dataset
138180,J. Campbell-Ryce,J. Campbell-Ryce,dataset
138181,M. Turner,M. Turner,dataset
138247,K. Stuhr-Ellegaard,K. Stuhr-Ellegaard,dataset
138251,R. Foster,R. Foster,dataset
138306,Angulo,Angulo,dataset
138336,B. Holman,B. Holman,dataset
138384,M. Janko,M. Janko,dataset
138390,D. Fox,D. Fox,dataset
138412,J. Milner,J. Milner,dataset
138413,M. Kilgallon,M. Kilgallon,dataset
138427,D. Pipe,D. Pipe,dataset
138460,R. HubnÃ­k,R. HubnÃ­k,dataset
138698,A. Abdi,A. Abdi,dataset
138699,B. DÅ¾emaili,B. DÅ¾emaili,dataset
138719,C. O'Grady,C. O'Grady,dataset
138722,B. Jones,B. Jones,dataset
138729,K. RisgÃ¥rd,K. RisgÃ¥rd,dataset
138782,D. Fletcher,D. Fletcher,dataset
138786,B. Williams,B. Williams,dataset
138798,G. Lux,G. Lux,dataset
138830,D. Lewington,D. Lewington,dataset
138918,L. Rigoni,L. Rigoni,dataset
138981,Tiago Gomes,Tiago Gomes,dataset
139057,C. RodrÃ­guez,C. RodrÃ­guez,dataset
139058,O. PÃ©rez,O. PÃ©rez,dataset
139062,W. Caballero,W. Caballero,dataset
139213,L. Michel,L. Michel,dataset
139229,C. Salcido,C. Salcido,dataset
139257,D. Lopar,D. Lopar,dataset
139274,B. Cesar,B. Cesar,dataset
139296,D. Nugent,D. Nugent,dataset
139313,C. Fuchs,C. Fuchs,dataset
139317,J. Stead,J. Stead,dataset
139348,A. Kay,A. Kay,dataset
139368,J. Shackell,J. Shackell,dataset
139476,D. Gerken,D. Gerken,dataset
139482,M. Bean,M. Bean,dataset
139489,F. Torres,F. Torres,dataset
139533,A. Hutton,A. Hutton,dataset
139597,Javi Guerra,Javi Guerra,dataset
139609,C. Conway,C. Conway,dataset
139668,F. Marchetti,F. Marchetti,dataset
139727,F. Boeckx,F. Boeckx,dataset
139799,S. Silva,S. Silva,dataset
139836,C. Medjani,C. Medjani,dataset
139860,J. Morel,J. Morel,dataset
139862,J. Marveaux,J. Marveaux,dataset
139866,G. Loovens,G. Loovens,dataset
139927,Du Wei,Du Wei,dataset
140029,O. PÃ©rez,O. PÃ©rez,dataset
140082,Rafael,Rafael,dataset
140164,Y. GutiÃ©rrez,Y. GutiÃ©rrez,dataset
140181,H. Sogahata,H. Sogahata,dataset
140196,Y. Endo,Y. Endo,dataset
140201,Y. Okubo,Y. Okubo,dataset
140222,P. Da Silva,P. Da Silva,dataset
140293,A. Mirante,A. Mirante,dataset
140300,P. Cherrie,P. Cherrie,dataset
140384,JÃ´,JÃ´,dataset
140418,R. Duffy,R. Duffy,dataset
140420,B. Murphy,B. Murphy,dataset
140422,A. Baptiste,A. Baptiste,dataset
140423,J. Buxton,J. Buxton,dataset
140424,C. Beardsley,C. Beardsley,dataset
140442,A. Butler,A. Butler,dataset
140445,S. MacLean,S. MacLean,dataset
140451,M. Kightly,M. Kightly,dataset
140483,L. Mazzoni,L. Mazzoni,dataset
140497,R. Wallace,R. Wallace,dataset
140498,D. Marshall,D. Marshall,dataset
140620,R. Klavan,R. Klavan,dataset
141111,Z. DediÄ,Z. DediÄ,dataset
142258,S. Bossut,S. Bossut,dataset
142270,J. Thomsen,J. Thomsen,dataset
142329,A. Tziolis,A. Tziolis,dataset
142333,M. McNulty,M. McNulty,dataset
142454,Verza,Verza,dataset
142499,Aitor Sanz,Aitor Sanz,dataset
142592,I. Damonte,I. Damonte,dataset
142670,R. BraÃ±a,R. BraÃ±a,dataset
142720,C. Araujo,C. Araujo,dataset
142756,P. Toranzo,P. Toranzo,dataset
142762,J. Bottinelli,J. Bottinelli,dataset
142773,W. Montillo,W. Montillo,dataset
142775,A. OriÃ³n,A. OriÃ³n,dataset
142780,G. RodrÃ­guez,G. RodrÃ­guez,dataset
142794,F. Erpen,F. Erpen,dataset
142818,F. Cubero,F. Cubero,dataset
142822,J. GutiÃ©rrez,J. GutiÃ©rrez,dataset
142902,A. Pyatov,A. Pyatov,dataset
142942,J. Gandolfi,J. Gandolfi,dataset
142959,M. Barbosa,M. Barbosa,dataset
142962,E. Bologna,E. Bologna,dataset
142979,J. Quiroga,J. Quiroga,dataset
142998,C. MuÃ±oz,C. MuÃ±oz,dataset
143018,G. Herrera,G. Herrera,dataset
143107,M. Gelabert,M. Gelabert,dataset
143112,P. LugÃ¼ercio,P. LugÃ¼ercio,dataset
143119,M. Pavone,M. Pavone,dataset
143121,J. Sosa,J. Sosa,dataset
143306,T. Zengin,T. Zengin,dataset
143587,F. Belluschi,F. Belluschi,dataset
143598,L. Pocrnjic,L. Pocrnjic,dataset
143632,V. Demirel,V. Demirel,dataset
143699,G. GÃ¶nÃ¼l,G. GÃ¶nÃ¼l,dataset
143745,A. Turan,A. Turan,dataset
143751,F. Ãztorun,F. Ãztorun,dataset
143799,Y. Ayhan,Y. Ayhan,dataset
143809,M. Demir,M. Demir,dataset
144010,Y. KurtuluÅ,Y. KurtuluÅ,dataset
144021,C. Schwegler,C. Schwegler,dataset
144024,D. Zibung,D. Zibung,dataset
144037,G. Kusunga,G. Kusunga,dataset
144156,M. Sejmenovic,M. Sejmenovic,dataset
144160,T. Acar,T. Acar,dataset
144172,S. KÄ±rÄ±ntÄ±lÄ±,S. KÄ±rÄ±ntÄ±lÄ±,dataset
144200,E. Albayrak,E. Albayrak,dataset
144282,S. Ãzkan,S. Ãzkan,dataset
144306,E. Korkmaz,E. Korkmaz,dataset
144415,S. AÄÃ§ay,S. AÄÃ§ay,dataset
144511,L. Greco,L. Greco,dataset
144622,Raffael,Raffael,dataset
145014,Juande,Juande,dataset
145047,Bruno Saltor,Bruno Saltor,dataset
145758,Freire,Freire,dataset
145889,Tito,Tito,dataset
145996,Seoane,Seoane,dataset
146011,I. Uche,I. Uche,dataset
146058,Momo,Momo,dataset
146059,David GarcÃ­a,David GarcÃ­a,dataset
146111,Mikel Rico,Mikel Rico,dataset
146296,AndrÃ©s FernÃ¡ndez,AndrÃ©s FernÃ¡ndez,dataset
146453,RaÃºl CÃ¡mara,RaÃºl CÃ¡mara,dataset
146460,Javi Fuego,Javi Fuego,dataset
146487,Susaeta,Susaeta,dataset
146521,Ripa,Ripa,dataset
146530,Dani Alves,Dani Alves,dataset
146536,JesÃºs Navas,JesÃºs Navas,dataset
146558,CÃ©sar Arzo,CÃ©sar Arzo,dataset
146562,Santi Cazorla,Santi Cazorla,dataset
146636,JosÃ© Juan,JosÃ© Juan,dataset
146637,Dani GimÃ©nez,Dani GimÃ©nez,dataset
146701,IvÃ¡n Ramis,IvÃ¡n Ramis,dataset
146748,Diego LÃ³pez,Diego LÃ³pez,dataset
146758,Soldado,Soldado,dataset
146760,Juanfran,Juanfran,dataset
146947,Vesga,Vesga,dataset
146952,IvÃ¡n CuÃ©llar,IvÃ¡n CuÃ©llar,dataset
146953,Manu Del Moral,Manu Del Moral,dataset
146963,J. Pinola,J. Pinola,dataset
146969,IÃ±aki Astiz,IÃ±aki Astiz,dataset
146974,Miguel FlaÃ±o,Miguel FlaÃ±o,dataset
146996,RubÃ©n,RubÃ©n,dataset
147006,Diego Castro,Diego Castro,dataset
147007,Jaime GavilÃ¡n,Jaime GavilÃ¡n,dataset
147782,I. Denisov,I. Denisov,dataset
147899,C. MoÅ£i,C. MoÅ£i,dataset
148119,I. Akinfeev,I. Akinfeev,dataset
148212,A. Rebrov,A. Rebrov,dataset
148496,A. Malarz,A. Malarz,dataset
148526,P. Kieszek,P. Kieszek,dataset
148564,S. Peszko,S. Peszko,dataset
148569,M. Wasilewski,M. Wasilewski,dataset
148634,B. Vandenbussche,B. Vandenbussche,dataset
148635,D. De fauw,D. De fauw,dataset
148684,A. Al Habsi,A. Al Habsi,dataset
148696,E. Ruud,E. Ruud,dataset
148700,A. Karadas,A. Karadas,dataset
148705,E. Mjelde,E. Mjelde,dataset
148720,H. Hauger,H. Hauger,dataset
149064,C. Molinaro,C. Molinaro,dataset
149184,C. Maggio,C. Maggio,dataset
149185,F. Magnanelli,F. Magnanelli,dataset
149258,A. Cordaz,A. Cordaz,dataset
149270,C. Valeri,C. Valeri,dataset
149309,A. Rosati,A. Rosati,dataset
149571,S. Pellissier,S. Pellissier,dataset
149572,P. Sammarco,P. Sammarco,dataset
149662,A. Bennett,A. Bennett,dataset
149721,G. Rogers,G. Rogers,dataset
149825,D. Murphy,D. Murphy,dataset
150106,A. Papadopoulos,A. Papadopoulos,dataset
150278,J. DrobnÃ½,J. DrobnÃ½,dataset
150415,M. Caligiuri,M. Caligiuri,dataset
150477,R. Salin,R. Salin,dataset
150590,C. Jallet,C. Jallet,dataset
150594,J. Perbet,J. Perbet,dataset
150659,V. Demarconnay,V. Demarconnay,dataset
150724,J. Hart,J. Hart,dataset
150894,M. Halsti,M. Halsti,dataset
150995,B. Rotenberg,B. Rotenberg,dataset
151225,D. Collins,D. Collins,dataset
151270,J. Coppinger,J. Coppinger,dataset
151376,K. Arkivuo,K. Arkivuo,dataset
151508,S. Davis,S. Davis,dataset
152031,T. Kortegaard,T. Kortegaard,dataset
152038,J. Absalonsen,J. Absalonsen,dataset
152107,P. Netzer,P. Netzer,dataset
152211,R. Ãzcan,R. Ãzcan,dataset
152454,G. Evans,G. Evans,dataset
152456,S. Brown,S. Brown,dataset
152480,M. MostrÃ¶m,M. MostrÃ¶m,dataset
152483,G. Zakuani,G. Zakuani,dataset
152501,S. Brown,S. Brown,dataset
152505,J. White,J. White,dataset
152514,J. Puncheon,J. Puncheon,dataset
152523,S. Flinders,S. Flinders,dataset
152536,B. Johnson,B. Johnson,dataset
152552,Y. Ma-Kalambay,Y. Ma-Kalambay,dataset
152554,G. Clichy,G. Clichy,dataset
152567,A. Tettey,A. Tettey,dataset
152598,M. Hamoud,M. Hamoud,dataset
152620,J. Samuelsen,J. Samuelsen,dataset
152621,J. BjÃ¸rdal,J. BjÃ¸rdal,dataset
152690,D. Konstantopoulos,D. Konstantopoulos,dataset
152724,D. Pugh,D. Pugh,dataset
152729,PiquÃ©,PiquÃ©,dataset
152735,M. Doyle,M. Doyle,dataset
152745,M. Woods,M. Woods,dataset
152747,A. Lennon,A. Lennon,dataset
152814,BobÃ´,BobÃ´,dataset
152870,Felipe Saad,Felipe Saad,dataset
152879,M. Noble,M. Noble,dataset
152883,C. Marshall,C. Marshall,dataset
152912,J. Sand,J. Sand,dataset
152916,R. Sambueza,R. Sambueza,dataset
152922,E. Barreto,E. Barreto,dataset
152961,M. Pawelec,M. Pawelec,dataset
152991,D. Marney,D. Marney,dataset
152993,R. Civelli,R. Civelli,dataset
152996,P. Skjelbred,P. Skjelbred,dataset
152997,D. Cvitanich,D. Cvitanich,dataset
152999,R. Palacio,R. Palacio,dataset
153048,M. Eikrem,M. Eikrem,dataset
153060,J. Insaurralde,J. Insaurralde,dataset
153062,V. Figueroa,V. Figueroa,dataset
153066,L. Licht,L. Licht,dataset
153100,S. Nelson,S. Nelson,dataset
153137,L. Sapela,L. Sapela,dataset
153148,L. GarguÅa,L. GarguÅa,dataset
153177,M. ZÃ¡rate,M. ZÃ¡rate,dataset
153244,A. Gignac,A. Gignac,dataset
153260,Hilton,Hilton,dataset
153269,H. Guy,H. Guy,dataset
153275,J. Leca,J. Leca,dataset
153938,Ãngel Rangel,Ãngel Rangel,dataset
154472,Jorge Molina,Jorge Molina,dataset
154634,M. Pasqual,M. Pasqual,dataset
154696,G. Bartczak,G. Bartczak,dataset
154729,C. StefaÅczyk,C. StefaÅczyk,dataset
155041,C. Mackail-Smith,C. Mackail-Smith,dataset
155264,V. Demidov,V. Demidov,dataset
155266,A. Askar,A. Askar,dataset
155334,Kang Min Soo,Kang Min Soo,dataset
155351,Choi Jae Soo,Choi Jae Soo,dataset
155422,J. SzmatuÅa,J. SzmatuÅa,dataset
155463,V. GÄman,V. GÄman,dataset
155517,D. Olsen,D. Olsen,dataset
155524,R. Stearman,R. Stearman,dataset
155533,L. Clarke,L. Clarke,dataset
155534,K. Lowe,K. Lowe,dataset
155551,J. Borring,J. Borring,dataset
155567,P. Nymann,P. Nymann,dataset
155657,P. Celeban,P. Celeban,dataset
155671,L. TraÅka,L. TraÅka,dataset
155694,S. De Petter,S. De Petter,dataset
155862,Sergio Ramos,Sergio Ramos,dataset
155871,B. BiaÅkowski,B. BiaÅkowski,dataset
155885,A. McGeady,A. McGeady,dataset
155887,M. Bradley,M. Bradley,dataset
155946,R. Snodgrass,R. Snodgrass,dataset
155976,C. Adam,C. Adam,dataset
155977,G. MacKenzie,G. MacKenzie,dataset
155979,R. McCormack,R. McCormack,dataset
155980,D. BiÄÃ­k,D. BiÄÃ­k,dataset
155984,Markel Bergara,Markel Bergara,dataset
155998,T. ÄernÃ½,T. ÄernÃ½,dataset
156092,J. Villar,J. Villar,dataset
156221,C. SÄpunaru,C. SÄpunaru,dataset
156227,Carlitos,Carlitos,dataset
156253,J. Lewis,J. Lewis,dataset
156313,A. El-Abd,A. El-Abd,dataset
156321,A. Akinfenwa,A. Akinfenwa,dataset
156412,J. Corona,J. Corona,dataset
156421,J. Valenzuela,J. Valenzuela,dataset
156432,G. Hoarau,G. Hoarau,dataset
156433,A. Talavera,A. Talavera,dataset
156434,F. RodrÃ­guez,F. RodrÃ­guez,dataset
156437,P. Pentke,P. Pentke,dataset
156438,T. Gebauer,T. Gebauer,dataset
156443,C. Janker,C. Janker,dataset
156464,R. Wood,R. Wood,dataset
156478,Y. Abe,Y. Abe,dataset
156483,C. Lucchetti,C. Lucchetti,dataset
156519,H. Herrera,H. Herrera,dataset
156535,T. Buffel,T. Buffel,dataset
156616,F. RibÃ©ry,F. RibÃ©ry,dataset
156650,Y. Gouffran,Y. Gouffran,dataset
156662,A. BastÃ­a,A. BastÃ­a,dataset
156675,A. Considine,A. Considine,dataset
156683,S. HolmÃ©n,S. HolmÃ©n,dataset
156704,T. Eriksson,T. Eriksson,dataset
156713,A. Granqvist,A. Granqvist,dataset
156894,D. Pratley,D. Pratley,dataset
156975,C. Berra,C. Berra,dataset
157018,M. HernÃ¡ndez,M. HernÃ¡ndez,dataset
157168,Manu,Manu,dataset
157217,N. Cardozo,N. Cardozo,dataset
157219,G. FernÃ¡ndez,G. FernÃ¡ndez,dataset
157270,TochÃ©,TochÃ©,dataset
157300,J. Blayac,J. Blayac,dataset
157301,R. Babel,R. Babel,dataset
157305,R. Lindgren,R. Lindgren,dataset
157310,S. Marveaux,S. Marveaux,dataset
157407,B. Clarke,B. Clarke,dataset
157479,Pedro LÃ³pez,Pedro LÃ³pez,dataset
157481,RaÃºl Albiol,RaÃºl Albiol,dataset
157482,J. Mackie,J. Mackie,dataset
157492,J. Valdivia,J. Valdivia,dataset
157503,A. Song,A. Song,dataset
157515,E. Velarde,E. Velarde,dataset
157528,M. Stoppelkamp,M. Stoppelkamp,dataset
157590,J. Mauersberger,J. Mauersberger,dataset
157665,S. Dann,S. Dann,dataset
157678,L. Ciman,L. Ciman,dataset
157703,U. HÃ¼nemeier,U. HÃ¼nemeier,dataset
157707,B. Berisha,B. Berisha,dataset
157716,M. Russ,M. Russ,dataset
157734,A. Jaakkola,A. Jaakkola,dataset
157741,S. Bentivoglio,S. Bentivoglio,dataset
157801,N. Pulzetti,N. Pulzetti,dataset
157804,S. Carson,S. Carson,dataset
157888,Q. Westberg,Q. Westberg,dataset
157960,Manuel Fernandes,Manuel Fernandes,dataset
158088,P. Ãlvarez,P. Ãlvarez,dataset
158089,P. Ledesma,P. Ledesma,dataset
158121,B. Costil,B. Costil,dataset
158133,J. FarfÃ¡n,J. FarfÃ¡n,dataset
158138,A. Hunt,A. Hunt,dataset
158144,Salva Sevilla,Salva Sevilla,dataset
158167,M. Sonnleitner,M. Sonnleitner,dataset
